4329.2,4009.2,4289.2,4148.2,4350.3,4586.1,4096.9,4641,4222.1,4238.5,4211.3,4280.5,4635.9,4393.9,0
4324.6,4004.6,4293.9,4148.7,4342.1,4586.7,4097.4,4639,4210.8,4226.7,4207.7,4279.5,4632.8,4384.1,0
4327.7,4006.7,4295.4,4156.4,4336.9,4583.6,4096.9,4630.3,4207.7,4222.1,4206.7,4282.1,4628.7,4389.2,0
4328.7,4011.8,4296.4,4155.9,4343.6,4582.6,4097.4,4630.8,4217.4,4235.4,4210.8,4287.7,4632.3,4396.4,0
4326.1,4011.8,4292.3,4151.3,4347.7,4586.7,4095.9,4627.7,4210.8,4244.1,4212.8,4288.2,4632.8,4398.5,0
4321,4004.6,4284.1,4153.3,4345.6,4587.2,4093.3,4616.9,4202.6,4232.8,4209.7,4281,4628.2,4389.7,0
4319.5,4001,4280.5,4151.8,4343.6,4584.6,4089.7,4615.9,4212.3,4226.7,4201,4269.7,4625.1,4378.5,0
4325.6,4006.7,4278.5,4143.1,4344.1,4583.1,4087.2,4614.9,4205.6,4230.3,4195.9,4266.7,4622.1,4380.5,0
4326.1,4010.8,4276.4,4139.5,4345.1,4584.1,4091.3,4608.2,4187.7,4229.7,4202.1,4273.9,4627.2,4389.7,0
4326.1,4011.3,4276.9,4142.1,4344.1,4582.6,4092.8,4608.7,4194.4,4228.7,4212.8,4277.9,4637.4,4393.3,0
4326.1,4010.8,4272.8,4143.1,4342.6,4579.5,4087.7,4615.9,4206.1,4228.7,4210.8,4272.8,4631.8,4382.6,0
4316.9,4002.6,4259.5,4135.9,4339.5,4581.5,4086.2,4615.4,4195.9,4223.6,4197.4,4262.1,4613.3,4370.8,0
4308.2,3993.3,4247.7,4124.6,4335.9,4584.6,4089.7,4610.3,4188.7,4221.5,4190.3,4255.9,4606.1,4369.7,0
4308.2,3998.5,4251.8,4122.6,4338.5,4584.6,4091.3,4616.9,4205.6,4225.6,4194.4,4263.6,4610.3,4371.3,0
